epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.133,1.46856,1.98,1.33767,0.39553,0.32595,0.24733,0.13024,1.68285,2.18639,1.50071,0.000665909,0.000665909,0.000665909
2,409.67,1.69596,2.00461,1.50178,0.41041,0.33603,0.27056,0.1396,1.72939,1.99792,1.53931,0.0012886,0.0012886,0.0012886
3,528.342,1.70566,2.00437,1.52252,0.40563,0.36163,0.28088,0.14554,1.65848,1.95101,1.48547,0.00186729,0.00186729,0.00186729
4,649.77,1.6671,1.95166,1.49169,0.44142,0.3899,0.30987,0.16043,1.66375,1.81445,1.48904,0.001802,0.001802,0.001802
5,35201.7,1.62269,1.90297,1.46625,0.45769,0.38341,0.32167,0.17926,1.57342,1.78857,1.41726,0.001736,0.001736,0.001736
6,35466,1.55751,1.82106,1.44393,0.47192,0.43,0.35119,0.1943,1.50985,1.74088,1.39295,0.00167,0.00167,0.00167
7,35687.1,1.54138,1.80037,1.41981,0.46401,0.43168,0.34944,0.19528,1.48201,1.64533,1.36994,0.001604,0.001604,0.001604
8,35909.6,1.51158,1.7773,1.39824,0.48372,0.44438,0.36697,0.21032,1.47812,1.61062,1.36594,0.001538,0.001538,0.001538
9,36136.6,1.49736,1.73961,1.39591,0.48892,0.4614,0.38233,0.22531,1.41707,1.56135,1.31877,0.001472,0.001472,0.001472
10,36376.3,1.45868,1.70737,1.37408,0.49614,0.46087,0.38854,0.22629,1.38691,1.55314,1.29617,0.001406,0.001406,0.001406
11,36605.1,1.44502,1.67621,1.35959,0.50612,0.47039,0.39525,0.2308,1.3891,1.50485,1.30168,0.00134,0.00134,0.00134
12,36836.4,1.42182,1.6563,1.34318,0.50929,0.47946,0.39768,0.23565,1.37329,1.52641,1.28304,0.001274,0.001274,0.001274
13,37065.3,1.42451,1.64252,1.3431,0.50166,0.48568,0.4016,0.24327,1.33784,1.46647,1.24917,0.001208,0.001208,0.001208
14,37289.7,1.39713,1.62725,1.32773,0.5114,0.49229,0.41222,0.25273,1.33444,1.43672,1.24662,0.001142,0.001142,0.001142
15,37513.8,1.38717,1.60054,1.31211,0.52144,0.48977,0.41848,0.25954,1.28964,1.40667,1.22349,0.001076,0.001076,0.001076
16,37750.6,1.37431,1.55429,1.31133,0.51905,0.50871,0.42574,0.26511,1.28353,1.39407,1.22267,0.00101,0.00101,0.00101
17,38006.2,1.35597,1.53424,1.29541,0.52434,0.51119,0.42844,0.26595,1.26773,1.37795,1.20883,0.000944,0.000944,0.000944
18,38255.5,1.33822,1.54992,1.29182,0.53226,0.51695,0.439,0.27597,1.24955,1.35716,1.19207,0.000878,0.000878,0.000878
19,38476.8,1.33572,1.51066,1.28753,0.54035,0.52715,0.44348,0.27875,1.23909,1.34483,1.1889,0.000812,0.000812,0.000812
20,38767.3,1.30824,1.49332,1.27632,0.53256,0.53414,0.44631,0.28286,1.22331,1.32757,1.17411,0.000746,0.000746,0.000746
21,39221.1,1.29732,1.54608,1.2509,0.53514,0.52109,0.44333,0.28163,1.22973,1.33844,1.17912,0.00068,0.00068,0.00068
22,39545.6,1.29639,1.58402,1.24234,0.53592,0.52118,0.44751,0.28762,1.22556,1.32654,1.1749,0.000614,0.000614,0.000614
23,39770.8,1.26659,1.48466,1.23071,0.54351,0.53101,0.45515,0.29435,1.20142,1.30504,1.16018,0.000548,0.000548,0.000548
24,39985.8,1.25927,1.47404,1.2291,0.54173,0.53736,0.45942,0.29806,1.18181,1.28989,1.15407,0.000482,0.000482,0.000482
25,40201.5,1.22807,1.41929,1.21705,0.5517,0.54088,0.46744,0.30389,1.17453,1.26854,1.14809,0.000416,0.000416,0.000416
26,40414.2,1.2097,1.39402,1.19615,0.55505,0.54481,0.47227,0.309,1.16728,1.26374,1.14026,0.00035,0.00035,0.00035
27,40585.4,1.20156,1.44859,1.19249,0.55761,0.55581,0.47898,0.31236,1.14326,1.23743,1.13033,0.000284,0.000284,0.000284
28,40744.5,1.17402,1.36527,1.18178,0.5609,0.56034,0.48321,0.32074,1.13599,1.21623,1.12478,0.000218,0.000218,0.000218
29,40942.6,1.17143,1.33688,1.17673,0.56252,0.56052,0.48494,0.32338,1.12424,1.21517,1.11679,0.000152,0.000152,0.000152
30,41157,1.15574,1.34538,1.16377,0.56648,0.56386,0.48938,0.32587,1.11466,1.19799,1.10975,8.6e-05,8.6e-05,8.6e-05
